ConsumerRecord(topic='AXAS', partition=0, offset=45, timestamp=1650521848315, timestamp_type=0, key=None, value=b'900', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=46, timestamp=1650521849420, timestamp_type=0, key=None, value=b'1372', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=47, timestamp=1650521850526, timestamp_type=0, key=None, value=b'523', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=48, timestamp=1650521851631, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=49, timestamp=1650521852737, timestamp_type=0, key=None, value=b'300', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=50, timestamp=1650521853843, timestamp_type=0, key=None, value=b'102', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=51, timestamp=1650521854948, timestamp_type=0, key=None, value=b'600', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=52, timestamp=1650521856054, timestamp_type=0, key=None, value=b'358', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=53, timestamp=1650521857161, timestamp_type=0, key=None, value=b'4699', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=54, timestamp=1650521858266, timestamp_type=0, key=None, value=b'700', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=55, timestamp=1650521859372, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=56, timestamp=1650521860477, timestamp_type=0, key=None, value=b'4448', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=57, timestamp=1650521861583, timestamp_type=0, key=None, value=b'300', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=58, timestamp=1650521862688, timestamp_type=0, key=None, value=b'200', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=59, timestamp=1650521863794, timestamp_type=0, key=None, value=b'2800', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=60, timestamp=1650521864899, timestamp_type=0, key=None, value=b'135', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=61, timestamp=1650521866005, timestamp_type=0, key=None, value=b'205', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=62, timestamp=1650521867111, timestamp_type=0, key=None, value=b'740', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=63, timestamp=1650521868217, timestamp_type=0, key=None, value=b'200', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=64, timestamp=1650521869323, timestamp_type=0, key=None, value=b'1503', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=65, timestamp=1650521870430, timestamp_type=0, key=None, value=b'300', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=66, timestamp=1650521871536, timestamp_type=0, key=None, value=b'1100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=67, timestamp=1650521872642, timestamp_type=0, key=None, value=b'536', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=68, timestamp=1650521873747, timestamp_type=0, key=None, value=b'2850', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=69, timestamp=1650521874852, timestamp_type=0, key=None, value=b'204', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=70, timestamp=1650521875958, timestamp_type=0, key=None, value=b'1259', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=71, timestamp=1650521877063, timestamp_type=0, key=None, value=b'1501', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=72, timestamp=1650521878169, timestamp_type=0, key=None, value=b'116', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=73, timestamp=1650521879274, timestamp_type=0, key=None, value=b'255', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=74, timestamp=1650521880379, timestamp_type=0, key=None, value=b'4135', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=75, timestamp=1650521881485, timestamp_type=0, key=None, value=b'2829', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=76, timestamp=1650521882590, timestamp_type=0, key=None, value=b'850', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=77, timestamp=1650521883697, timestamp_type=0, key=None, value=b'44247', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=78, timestamp=1650521884802, timestamp_type=0, key=None, value=b'310', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=79, timestamp=1650521885907, timestamp_type=0, key=None, value=b'901', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=80, timestamp=1650521887013, timestamp_type=0, key=None, value=b'600', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=81, timestamp=1650521888118, timestamp_type=0, key=None, value=b'700', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=82, timestamp=1650521889224, timestamp_type=0, key=None, value=b'511', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=83, timestamp=1650521890329, timestamp_type=0, key=None, value=b'209', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=84, timestamp=1650521891435, timestamp_type=0, key=None, value=b'124', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=85, timestamp=1650521892540, timestamp_type=0, key=None, value=b'311', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=86, timestamp=1650521893646, timestamp_type=0, key=None, value=b'1051', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=87, timestamp=1650521894751, timestamp_type=0, key=None, value=b'1757', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=88, timestamp=1650521895856, timestamp_type=0, key=None, value=b'101', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=89, timestamp=1650521896963, timestamp_type=0, key=None, value=b'6355', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
