ConsumerRecord(topic='OND', partition=0, offset=70, timestamp=1650521875932, timestamp_type=0, key=None, value=b'40.0', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=71, timestamp=1650521877037, timestamp_type=0, key=None, value=b'40.11', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=72, timestamp=1650521878143, timestamp_type=0, key=None, value=b'40.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=73, timestamp=1650521879248, timestamp_type=0, key=None, value=b'40.44', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=74, timestamp=1650521880353, timestamp_type=0, key=None, value=b'40.47', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=75, timestamp=1650521881458, timestamp_type=0, key=None, value=b'40.56', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=76, timestamp=1650521882564, timestamp_type=0, key=None, value=b'40.59', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=77, timestamp=1650521883671, timestamp_type=0, key=None, value=b'40.69', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=78, timestamp=1650521884775, timestamp_type=0, key=None, value=b'40.68', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=79, timestamp=1650521885881, timestamp_type=0, key=None, value=b'40.7', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=80, timestamp=1650521886987, timestamp_type=0, key=None, value=b'40.63', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=81, timestamp=1650521888093, timestamp_type=0, key=None, value=b'40.63', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=82, timestamp=1650521889198, timestamp_type=0, key=None, value=b'40.64', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=83, timestamp=1650521890304, timestamp_type=0, key=None, value=b'40.69', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=84, timestamp=1650521891409, timestamp_type=0, key=None, value=b'40.77', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=85, timestamp=1650521892515, timestamp_type=0, key=None, value=b'40.81', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=86, timestamp=1650521893620, timestamp_type=0, key=None, value=b'40.82', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=87, timestamp=1650521894726, timestamp_type=0, key=None, value=b'40.81', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=88, timestamp=1650521895831, timestamp_type=0, key=None, value=b'40.84', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=89, timestamp=1650521896938, timestamp_type=0, key=None, value=b'40.81', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
