timestamp,open,high,low,close,volume,trade_count,vwap
2021-11-09 21:00:00+00:00,9.98,9.98,9.98,9.98,2167,1,9.98
2021-11-10 15:26:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:28:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:30:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:32:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:34:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:36:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:38:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:40:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:42:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:44:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:46:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:48:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:50:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:52:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:54:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:56:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 15:58:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:00:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:02:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:04:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:06:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:08:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:10:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:12:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:14:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:16:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:18:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:20:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:22:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:24:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:26:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:28:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:30:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:32:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:34:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:36:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:38:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:40:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:42:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:44:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:46:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:48:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:50:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:52:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:54:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:56:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 16:58:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:00:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:02:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:04:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:06:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:08:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:10:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:12:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:14:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:16:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:18:00+00:00,9.97,9.97,9.97,9.97,300,2,9.97
2021-11-10 17:20:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:22:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:24:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:26:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:28:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:30:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:32:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:34:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:36:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:38:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:40:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:42:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:44:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:46:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:48:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:50:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:52:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:54:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:56:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 17:58:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:00:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:02:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:04:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:06:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:08:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:10:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:12:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:14:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:16:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:18:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:20:00+00:00,9.97,9.97,9.97,9.97,100,1,9.97
2021-11-10 18:22:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:43:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:45:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:47:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:49:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:51:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:53:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:55:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:57:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 18:59:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:01:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:03:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:05:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:07:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:09:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:11:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:13:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:15:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:17:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:19:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:21:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:23:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:25:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:27:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:29:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:31:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:33:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:35:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:37:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:39:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:41:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:43:00+00:00,10.0,10.0,9.97,9.97,400,4,9.9925
2021-11-10 19:45:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:47:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:49:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:51:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:53:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:55:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:57:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 19:59:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:01:00+00:00,10.0,10.0,9.97,9.97,400,4,9.9925
2021-11-10 20:03:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:05:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:07:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:09:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:11:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:13:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:15:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:17:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:19:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:21:00+00:00,10.0,10.0,9.97,9.97,400,4,9.9925
2021-11-10 20:23:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:25:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:27:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:29:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:31:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:33:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:35:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:37:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:39:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:41:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:43:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:45:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:47:00+00:00,10.0,10.0,10.0,10.0,100,1,10.0
2021-11-10 20:48:00+00:00,10.01,10.01,10.01,10.01,600,6,10.01
2021-11-10 20:49:00+00:00,10.01,10.01,10.01,10.01,100,1,10.01
2021-11-10 20:51:00+00:00,10.015,10.015,10.015,10.015,100,1,10.015
2021-11-10 20:53:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-10 20:54:00+00:00,10.06,10.05,10.05,10.05,416,18,10.050481
2021-11-10 20:55:00+00:00,10.05,10.05,10.05,10.05,200,2,10.05
2021-11-10 20:56:00+00:00,10.04,10.04,10.04,10.04,100,1,10.04
2021-11-10 20:57:00+00:00,10.05,10.05,10.05,10.05,100,1,10.05
2021-11-10 20:58:00+00:00,10.03,10.08,10.03,10.08,1604,16,10.06505
2021-11-10 20:59:00+00:00,10.28,10.28,10.03,10.03,1415,13,10.09159
2021-11-10 21:00:00+00:00,9.96,9.96,9.96,9.96,2167,1,9.96
2021-11-11 14:35:00+00:00,10.92,10.96,10.92,10.96,4196,3,10.959047
2021-11-11 17:01:00+00:00,10.02,10.03,10.02,10.02,1700,3,10.024706
2021-11-11 18:20:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 18:26:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 18:27:00+00:00,10.02,10.02,10.02,10.02,600,4,10.02
2021-11-11 18:33:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 18:34:00+00:00,10.02,10.02,10.02,10.02,600,4,10.02
2021-11-11 18:44:00+00:00,10.02,10.02,10.02,10.02,600,4,10.02
2021-11-11 18:50:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 18:51:00+00:00,10.02,10.02,10.02,10.02,1100,4,10.02
2021-11-11 18:56:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 18:57:00+00:00,10.02,10.02,10.02,10.02,600,5,10.02
2021-11-11 19:08:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 19:09:00+00:00,10.02,10.02,10.02,10.02,600,5,10.02
2021-11-11 19:14:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 19:15:00+00:00,10.02,10.02,10.02,10.02,1100,4,10.02
2021-11-11 19:21:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 19:22:00+00:00,10.02,10.02,10.02,10.02,600,4,10.02
2021-11-11 19:28:00+00:00,10.05,10.05,10.02,10.03,1379,11,10.025649
2021-11-11 19:29:00+00:00,10.045,10.05,10.045,10.05,2799,9,10.046529
2021-11-11 19:30:00+00:00,10.04,10.04,10.03,10.03,20000,8,10.035
2021-11-11 19:31:00+00:00,10.02,10.02,10.02,10.02,17100,13,10.02
2021-11-11 19:32:00+00:00,10.02,10.02,10.02,10.02,15653,3,10.02
2021-11-11 19:47:00+00:00,10.02,10.02,10.02,10.02,1100,4,10.02
2021-11-11 19:48:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 19:49:00+00:00,10.02,10.02,10.02,10.02,900,9,10.02
2021-11-11 19:57:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 19:58:00+00:00,10.02,10.02,10.02,10.02,700,7,10.02
2021-11-11 20:10:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:11:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:12:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:13:00+00:00,10.02,10.02,10.02,10.02,7479,10,10.02
2021-11-11 20:14:00+00:00,10.02,10.02,10.02,10.02,1200,12,10.02
2021-11-11 20:30:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:31:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:32:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:33:00+00:00,10.02,10.02,10.02,10.02,200,2,10.02
2021-11-11 20:34:00+00:00,10.02,10.02,10.02,10.02,1800,18,10.02
2021-11-11 20:40:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-11 20:42:00+00:00,10.03,10.03,10.03,10.03,671,7,10.031058
2021-11-11 20:53:00+00:00,10.03,10.03,10.03,10.03,200,2,10.03
2021-11-11 20:54:00+00:00,10.03,10.03,10.03,10.03,400,2,10.03
2021-11-11 20:55:00+00:00,10.03,10.03,10.03,10.03,400,4,10.03
2021-11-11 20:57:00+00:00,10.02,10.02,10.02,10.02,100,1,10.02
2021-11-11 20:58:00+00:00,10.02,10.04,10.02,10.03,1000,7,10.025
2021-11-11 20:59:00+00:00,10.03,10.03,10.02,10.02,1930,18,10.021259
2021-11-11 21:00:00+00:00,10.01,10.01,10.01,10.01,2435,1,10.01
2021-11-12 15:12:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:14:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:16:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:18:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:20:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:22:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:24:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:26:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:29:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:31:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:33:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:35:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:37:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:39:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:41:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:43:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:45:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:47:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:49:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:51:00+00:00,10.03,10.03,10.03,10.03,106,2,10.03
2021-11-12 15:53:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:56:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 15:58:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:02:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:04:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:06:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:10:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:12:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:14:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:16:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:20:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:25:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:29:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:33:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:37:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:39:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:43:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:47:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:52:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 16:56:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 17:00:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 17:04:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 17:08:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 17:12:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 17:17:00+00:00,10.03,10.04,10.03,10.04,200,2,10.035
2021-11-12 17:21:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
2021-11-12 17:25:00+00:00,10.03,10.03,10.03,10.03,100,1,10.03
